0,1,2,3,4,5,6,7,8
,,,,,,,,
,,,,,,,,
Gross Domestic Product At 2010 Constant Basic Prices (%),,,,,,,,
,,,,,,,,
,,,,,,,,
,2023,,,,,2024,,
,Q1,Q2,Q3,Q4,Total,Q1,Q2,Q3
ACTIVITY SECTOR,,,,,,,,
,,,,,,,,
AGRICULTURE,-0.8992042070448347,1.500778868537922,1.2960619135363283,2.102939656460401,1.1283674975119062,0.18315053790520786,1.4080889819743536,1.1427097894420202
       1. Crop Production,1.9341912533249017,1.8234456789345543,1.345671699792983,2.4351269508439133,1.8810111954584263,1.7090297925002496,1.647807424441683,1.1807378078098951
       2. Livestock,-30.572499991055967,-2.3027553092662023,1.182110037666595,-2.0903133009647967,-8.614405265243263,-23.291744631294687,-1.7069781497163872,1.0302945509844896
       3.  Forestry,1.2420345172847735,1.8790163764124346,2.2112345678934497,1.6923456789345481,1.766901057865633,2.7267364006386074,2.774350700226935,2.2315926207080894
       4.  Fishing,-2.9193168146501858,0.2891485561179019,-2.3349785633078657,-0.11901584398422704,-1.3579648856713034,-1.4431503004092572,0.3826466504176729,-1.9079429478689791
MINING AND QUARRYING,-3.9592379171405123,-12.158615398858597,-1.9632620919917465,8.044117604901224,-2.844628780626357,6.303438078363088,7.787311947253106,3.265423203747897
       5. Crude Petroleum and Natural Gas,-4.206722845172117,-13.429728435636356,-0.8493716634882409,12.11312057788978,-2.215171174701891,5.700189709233183,10.14748115269839,5.171133491640201
       6. Coal Mining,1.1893665270761522,-15.73140311156922,58.025163303715786,-26.34700751683218,-11.56532031360512,-62.9296345407533,-51.826110872340614,-63.5616874449652
       7.  Metal Ores,52.55908597921475,65.56347384271145,69.75728346594074,-17.392820568662216,50.32038814358071,114.34520262848702,58.122905284312296,21.827497907706707
       8. Quarrying and Other Minerals,0.23257296885319523,39.17778557248401,-35.37706820347696,-40.92525151719926,-24.77085105656227,-60.95855308510669,-51.32223657162132,-73.98245664107779
MANUFACTURING,1.6096443073691624,2.1993853099164795,0.48129885066334754,1.378104592050211,1.4046229952340061,1.4937699326090126,1.277482073900238,0.9238743088460177
       9.  Oil Refining,-35.84139684013255,-35.56210176231397,-37.01234540054348,-35.33113725944842,-35.812842968482116,-33.37714279576357,-35.408045931793794,-32.385802225475544
       10. Cement,1.575576167271553,3.3388209458904416,4.2027006524048005,3.258728698429114,3.077475152920961,2.052099946836794,1.7369742183486414,2.303087587937269
"       11. Food, Beverage and Tobacco",3.903252634042831,4.327990075746535,0.9152498299174194,2.931789548960162,3.0254550928244806,2.623710006335167,2.2906505390292153,1.7647287825059088
"       12. Textile, Apparel and Footwear",-3.6811323543561536,-4.379038524979584,-2.7469580859628806,-1.6838309830848552,-3.060061628864208,-1.7512530960903772,-1.957844376259743,-1.8985905332470798
       13. Wood and Wood Products,2.6411257308873504,2.371824518679766,2.2655940736736158,-1.8642811352507005,1.3944086365991426,1.9278147935486878,2.2558834206308775,2.1608561989213237
"       14. Pulp, Paper and Paper  Products",1.5653933791601737,1.4260903414778925,-3.804148219872916,-1.208664498887757,-0.5632849787089667,1.886725900362518,1.29404948193228,-2.0933569156728282
