Unnamed: 0, Top Traded Products In the World  Q1 2025,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
,Import ,,,% share of World Import,,Export ,,,% share of World Export
,3304990000,Beauty or makeup preparations and prepar Other,3243925461,1.52256099763614,,8905900000,"Lightvessels, firefloats, floating cranes, and other vessels not specified in 8905",7984173202,0.725830085044342
,0303690000,Other Fish of the families not mentioned in this subheadng.,2244175220,1.05332064590047,,7612901000,Aluminium Cans,7844253802.93,0.713110207011023
,0804100000,Dates fresh or dried,1938508218,0.909853522162647,,2523290000,Other excluding White cement,7785982997.74,0.70781288912768
,4107990000,Other hides and skins not specified.,1725460816,0.809858109557539,,2523100000,Cement clinkers,5976460950,0.543311755626251
,2101110000,"Extracts, essences and concentrates",1627217714,0.763746965146139,,2302300000,"Bran, sharps and other residues of wheat",4382749800,0.39842969078692
,1517100000,"Margarine, excluding liquid margarine",1575000043,0.739238205555995,,2710192500,Heavy fuel oil II,3765392617.14,0.34230660763214
,1901100000,"Preparations for infant use, put up for retail sale",1567194485,0.735574607758059,,7311000000,"Containers for compressed or liquefied gas, of iron or steel.",3716967250,0.337904324833375
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Top Traded Products with ECOWAS countries in Q1 2025,,,,,,,,
,,,,,,,,,
,Import,,,% share of Ecowas Import,,Export ,,,% share of Ecowas Export
,HS10,Products,Value  (₦),,,HS10,Products,Value  (₦),
,2710125000,"Motor spirit, ordinary",89179185720,44.5089848993953,,2709000000,"Petroleum oils and oils obtained from bituminous minerals, crude.",782440043260.59,73.2740962556265
,2710192100,Gas oil,23150207548,11.554178588342,,2710192300,Light fuel oil,66317051323.04,6.21047202771468
,2713200000,Petroleum bitumen,20580608306,10.2717015962469,,2716000000,Electrical energy. (optional heading),49152418049.755,4.603035136553
,2710123000,Aviation spirit,17514003090,8.74117085469137,,2710129000,Other Light oils and preparations Not specified or included,27562910788.43,2.5812167917434
,2710192300,Light fuel oil,15041907147,7.50735738007285,,3102100000,"Urea, whether or not in aqueous solution",24257933420.63,2.27171163303287
,1806100000,"Cocoa powder, containing added sugar or other sweetening matter",7941709114,3.96367614456859,,2711120000,Propane,21660535733.32,2.02847003287015
,1511100000,Crude palm oil,7866686717,3.92623275788335,,2711130000,Butanes,8087772294.72,0.757405261555013
,3304990000,Beauty or makeup preparations and prepar Other,3243925461,1.61903058648395,,8905900000,"Lightvessels, firefloats, floating cranes, and other vessels not specified in 8905",7984173202,0.747703393715623
,4107990000,Other hides and skins not specified.,1725460816,0.861170785355342,,2402200000,Cigarettes containing tobacco,7952729192.82,0.744758719072289
,2101110000,"Extracts, essences and concentrates",1627217714,0.812138035077526,,7612901000,Aluminium Cans,7844253802.93,0.73460019481394
,1517100000,"Margarine, excluding liquid margarine",1575000043,0.78607639848311,,2523290000,Other excluding White cement,7785982997.74,0.729143239197773
,1901100000,"Preparations for infant use, put up for retail sale",1567194485,0.782180674830237,,2523100000,Cement clinkers,4621666950,0.432810758949056
,1507100000,"Crude soyabean oil, whether or not degummed",1121396959,0.55968486268837,,2302300000,"Bran, sharps and other residues of wheat",4382749800,0.410436599552424
,3823190000,Industrial monocarboxylic fatty acids n oils from refining nes,921598750,0.459966353313005,,2710192500,Heavy fuel oil II,3765392617.14,0.352622214884076
,7211900000,"Flatrolled Iron/Nonalloy Steel,Wid<600mm,Nes",771410970,0.385008216185783,,3808911990,"Other Insecticides Put up for retail sale, Of the ty",3146859966.56,0.294697749787711
